,Statistic,tumor_stage,value,MCCV
4,TP,ii,1,305
0,TP,i,3,306
1,FP,i,7,306
2,FN,i,6,306
3,TN,i,5,306
4,TP,ii,1,306
0,TP,i,2,307
1,FP,i,2,307
2,FN,i,9,307
3,TN,i,8,307
4,TP,ii,3,307
0,TP,i,2,308
1,FP,i,5,308
2,FN,i,7,308
3,TN,i,7,308
4,TP,ii,0,308
0,TP,i,1,309
1,FP,i,6,309
2,FN,i,9,309
3,TN,i,5,309
4,TP,ii,2,309
0,TP,i,2,310
1,FP,i,3,310
2,FN,i,4,310
3,TN,i,12,310
4,TP,ii,1,310
0,TP,i,2,311
1,FP,i,6,311
2,FN,i,6,311
3,TN,i,7,311
4,TP,ii,0,311
0,TP,i,3,312
1,FP,i,6,312
2,FN,i,5,312
3,TN,i,7,312
4,TP,ii,0,312
0,TP,i,2,313
1,FP,i,4,313
2,FN,i,5,313
3,TN,i,10,313
4,TP,ii,2,313
0,TP,i,6,314
1,FP,i,6,314
2,FN,i,3,314
3,TN,i,6,314
4,TP,ii,0,314
0,TP,i,2,315
1,FP,i,7,315
2,FN,i,5,315
3,TN,i,7,315
4,TP,ii,1,315
0,TP,i,0,316
1,FP,i,3,316
2,FN,i,9,316
3,TN,i,9,316
4,TP,ii,0,316
0,TP,i,2,317
1,FP,i,10,317
2,FN,i,5,317
3,TN,i,4,317
4,TP,ii,0,317
0,TP,i,1,318
1,FP,i,4,318
2,FN,i,9,318
3,TN,i,7,318
4,TP,ii,0,318
0,TP,i,6,319
1,FP,i,6,319
2,FN,i,4,319
3,TN,i,5,319
4,TP,ii,0,319
0,TP,i,2,320
1,FP,i,6,320
2,FN,i,5,320
3,TN,i,8,320
4,TP,ii,1,320
0,TP,i,4,321
1,FP,i,6,321
2,FN,i,6,321
3,TN,i,5,321
4,TP,ii,1,321
0,TP,i,2,322
1,FP,i,3,322
2,FN,i,9,322
3,TN,i,7,322
4,TP,ii,2,322
0,TP,i,3,323
1,FP,i,8,323
2,FN,i,3,323
3,TN,i,7,323
4,TP,ii,0,323
0,TP,i,3,324
1,FP,i,7,324
2,FN,i,3,324
3,TN,i,8,324
4,TP,ii,1,324
0,TP,i,2,325
1,FP,i,6,325
2,FN,i,8,325
3,TN,i,5,325
4,TP,ii,0,325
0,TP,i,4,326
1,FP,i,2,326
2,FN,i,8,326
3,TN,i,7,326
4,TP,ii,2,326
0,TP,i,2,327
1,FP,i,9,327
2,FN,i,4,327
3,TN,i,6,327
4,TP,ii,1,327
0,TP,i,2,328
1,FP,i,6,328
2,FN,i,6,328
3,TN,i,7,328
4,TP,ii,3,328
0,TP,i,3,329
1,FP,i,4,329
2,FN,i,5,329
3,TN,i,9,329
4,TP,ii,0,329
0,TP,i,2,330
1,FP,i,5,330
2,FN,i,4,330
3,TN,i,10,330
4,TP,ii,1,330
0,TP,i,2,331
1,FP,i,4,331
2,FN,i,5,331
3,TN,i,10,331
4,TP,ii,0,331
0,TP,i,1,332
1,FP,i,1,332
2,FN,i,10,332
3,TN,i,9,332
4,TP,ii,1,332
0,TP,i,3,333
1,FP,i,5,333
2,FN,i,3,333
3,TN,i,10,333
4,TP,ii,2,333
0,TP,i,4,334
1,FP,i,4,334
2,FN,i,8,334
3,TN,i,5,334
4,TP,ii,1,334
0,TP,i,2,335
1,FP,i,4,335
2,FN,i,5,335
3,TN,i,10,335
4,TP,ii,2,335
0,TP,i,2,336
1,FP,i,3,336
2,FN,i,7,336
3,TN,i,9,336
4,TP,ii,3,336
0,TP,i,3,337
1,FP,i,6,337
2,FN,i,5,337
3,TN,i,7,337
4,TP,ii,0,337
0,TP,i,6,338
1,FP,i,5,338
2,FN,i,4,338
3,TN,i,6,338
4,TP,ii,1,338
0,TP,i,1,339
1,FP,i,1,339
2,FN,i,10,339
3,TN,i,9,339
4,TP,ii,1,339
0,TP,i,0,340
1,FP,i,6,340
2,FN,i,4,340
3,TN,i,11,340
4,TP,ii,0,340
0,TP,i,1,341
1,FP,i,8,341
2,FN,i,4,341
3,TN,i,8,341
4,TP,ii,1,341
0,TP,i,3,342
1,FP,i,6,342
2,FN,i,6,342
3,TN,i,6,342
4,TP,ii,0,342
0,TP,i,1,343
1,FP,i,6,343
2,FN,i,4,343
3,TN,i,10,343
4,TP,ii,2,343
0,TP,i,1,344
1,FP,i,5,344
2,FN,i,6,344
3,TN,i,9,344
4,TP,ii,0,344
0,TP,i,4,345
1,FP,i,4,345
2,FN,i,2,345
3,TN,i,11,345
4,TP,ii,1,345
0,TP,i,2,346
1,FP,i,8,346
2,FN,i,3,346
3,TN,i,8,346
4,TP,ii,3,346
0,TP,i,2,347
1,FP,i,6,347
2,FN,i,3,347
3,TN,i,10,347
4,TP,ii,2,347
0,TP,i,2,348
1,FP,i,4,348
2,FN,i,4,348
3,TN,i,11,348
4,TP,ii,1,348
0,TP,i,4,349
1,FP,i,4,349
2,FN,i,5,349
3,TN,i,8,349
4,TP,ii,1,349
0,TP,i,2,350
1,FP,i,4,350
2,FN,i,9,350
3,TN,i,6,350
4,TP,ii,0,350
0,TP,i,5,351
1,FP,i,6,351
2,FN,i,3,351
3,TN,i,7,351
4,TP,ii,2,351
0,TP,i,2,352
1,FP,i,3,352
2,FN,i,3,352
3,TN,i,13,352
4,TP,ii,1,352
0,TP,i,3,353
1,FP,i,7,353
2,FN,i,4,353
3,TN,i,7,353
4,TP,ii,2,353
0,TP,i,2,354
1,FP,i,5,354
2,FN,i,6,354
3,TN,i,8,354
4,TP,ii,1,354
0,TP,i,0,355
1,FP,i,9,355
2,FN,i,4,355
3,TN,i,8,355
4,TP,ii,1,355
0,TP,i,3,356
1,FP,i,4,356
2,FN,i,4,356
3,TN,i,10,356
4,TP,ii,2,356
0,TP,i,3,357
1,FP,i,6,357
2,FN,i,3,357
3,TN,i,9,357
4,TP,ii,2,357
0,TP,i,3,358
1,FP,i,1,358
2,FN,i,8,358
3,TN,i,9,358
4,TP,ii,2,358
0,TP,i,2,359
1,FP,i,1,359
2,FN,i,7,359
3,TN,i,11,359
4,TP,ii,1,359
0,TP,i,5,360
1,FP,i,7,360
2,FN,i,3,360
3,TN,i,6,360
4,TP,ii,1,360
0,TP,i,4,361
1,FP,i,4,361
2,FN,i,4,361
3,TN,i,9,361
4,TP,ii,0,361
0,TP,i,4,362
1,FP,i,5,362
2,FN,i,5,362
3,TN,i,7,362
4,TP,ii,2,362
0,TP,i,2,363
1,FP,i,5,363
2,FN,i,7,363
3,TN,i,7,363
4,TP,ii,1,363
0,TP,i,2,364
1,FP,i,6,364
2,FN,i,6,364
3,TN,i,7,364
4,TP,ii,1,364
0,TP,i,2,365
1,FP,i,5,365
2,FN,i,8,365
3,TN,i,6,365
4,TP,ii,1,365
0,TP,i,4,366
1,FP,i,7,366
2,FN,i,4,366
3,TN,i,6,366
4,TP,ii,0,366
0,TP,i,2,367
1,FP,i,4,367
2,FN,i,6,367
3,TN,i,9,367
4,TP,ii,2,367
0,TP,i,1,368
1,FP,i,5,368
2,FN,i,6,368
3,TN,i,9,368
4,TP,ii,0,368
0,TP,i,2,369
1,FP,i,6,369
2,FN,i,3,369
3,TN,i,10,369
4,TP,ii,0,369
0,TP,i,1,370
1,FP,i,3,370
2,FN,i,10,370
3,TN,i,7,370
4,TP,ii,0,370
0,TP,i,2,371
1,FP,i,3,371
2,FN,i,6,371
3,TN,i,10,371
4,TP,ii,2,371
0,TP,i,3,372
1,FP,i,7,372
2,FN,i,5,372
3,TN,i,6,372
4,TP,ii,0,372
0,TP,i,2,373
1,FP,i,5,373
2,FN,i,5,373
3,TN,i,9,373
4,TP,ii,2,373
0,TP,i,5,374
1,FP,i,5,374
2,FN,i,6,374
3,TN,i,5,374
4,TP,ii,0,374
0,TP,i,2,375
1,FP,i,9,375
2,FN,i,3,375
3,TN,i,7,375
4,TP,ii,0,375
0,TP,i,1,376
1,FP,i,3,376
2,FN,i,8,376
3,TN,i,9,376
4,TP,ii,2,376
0,TP,i,2,377
1,FP,i,5,377
2,FN,i,9,377
3,TN,i,5,377
4,TP,ii,0,377
0,TP,i,1,378
1,FP,i,2,378
2,FN,i,8,378
3,TN,i,10,378
4,TP,ii,3,378
0,TP,i,3,379
1,FP,i,7,379
2,FN,i,4,379
3,TN,i,7,379
4,TP,ii,1,379
0,TP,i,2,380
1,FP,i,0,380
2,FN,i,7,380
3,TN,i,12,380
4,TP,ii,2,380
0,TP,i,2,381
1,FP,i,9,381
2,FN,i,5,381
3,TN,i,5,381
4,TP,ii,1,381
0,TP,i,1,382
1,FP,i,4,382
2,FN,i,6,382
3,TN,i,10,382
4,TP,ii,1,382
0,TP,i,3,383
1,FP,i,5,383
2,FN,i,8,383
3,TN,i,5,383
4,TP,ii,2,383
0,TP,i,3,384
1,FP,i,4,384
2,FN,i,7,384
3,TN,i,7,384
4,TP,ii,1,384
0,TP,i,3,385
1,FP,i,6,385
2,FN,i,7,385
3,TN,i,5,385
4,TP,ii,1,385
0,TP,i,2,386
1,FP,i,4,386
2,FN,i,7,386
3,TN,i,8,386
4,TP,ii,0,386
0,TP,i,0,387
1,FP,i,3,387
2,FN,i,6,387
3,TN,i,12,387
4,TP,ii,0,387
0,TP,i,2,388
1,FP,i,6,388
2,FN,i,5,388
3,TN,i,8,388
4,TP,ii,1,388
0,TP,i,2,389
1,FP,i,6,389
2,FN,i,2,389
3,TN,i,11,389
4,TP,ii,0,389
0,TP,i,4,390
1,FP,i,5,390
2,FN,i,6,390
3,TN,i,6,390
4,TP,ii,1,390
0,TP,i,2,391
1,FP,i,8,391
2,FN,i,5,391
3,TN,i,6,391
4,TP,ii,1,391
0,TP,i,2,392
1,FP,i,4,392
2,FN,i,5,392
3,TN,i,10,392
4,TP,ii,2,392
0,TP,i,3,393
1,FP,i,6,393
2,FN,i,3,393
3,TN,i,9,393
4,TP,ii,1,393
0,TP,i,4,394
1,FP,i,4,394
2,FN,i,4,394
3,TN,i,9,394
4,TP,ii,2,394
0,TP,i,4,395
1,FP,i,5,395
2,FN,i,7,395
3,TN,i,5,395
4,TP,ii,0,395
0,TP,i,2,396
1,FP,i,4,396
2,FN,i,9,396
3,TN,i,6,396
4,TP,ii,2,396
0,TP,i,3,397
1,FP,i,5,397
2,FN,i,7,397
3,TN,i,6,397
4,TP,ii,1,397
0,TP,i,3,398
1,FP,i,4,398
2,FN,i,7,398
3,TN,i,7,398
4,TP,ii,2,398
0,TP,i,3,399
1,FP,i,1,399
2,FN,i,8,399
3,TN,i,9,399
4,TP,ii,1,399
0,TP,i,5,400
1,FP,i,7,400
2,FN,i,5,400
3,TN,i,4,400
4,TP,ii,0,400
0,TP,i,4,401
1,FP,i,5,401
2,FN,i,4,401
3,TN,i,8,401
4,TP,ii,0,401
0,TP,i,2,402
1,FP,i,6,402
2,FN,i,5,402
3,TN,i,8,402
4,TP,ii,1,402
0,TP,i,4,403
1,FP,i,7,403
2,FN,i,5,403
3,TN,i,5,403
4,TP,ii,0,403
0,TP,i,5,404
1,FP,i,5,404
2,FN,i,0,404
3,TN,i,11,404
4,TP,ii,0,404
0,TP,i,1,405
1,FP,i,1,405
2,FN,i,8,405
3,TN,i,11,405
4,TP,ii,1,405
0,TP,i,2,406
1,FP,i,2,406
2,FN,i,3,406
3,TN,i,14,406
4,TP,ii,0,406
0,TP,i,4,407
1,FP,i,6,407
2,FN,i,5,407
3,TN,i,6,407
4,TP,ii,0,407
0,TP,i,3,408
1,FP,i,9,408
2,FN,i,7,408
3,TN,i,2,408
4,TP,ii,0,408
0,TP,i,3,409
1,FP,i,5,409
2,FN,i,5,409
3,TN,i,8,409
4,TP,ii,0,409
0,TP,i,2,410
1,FP,i,5,410
2,FN,i,6,410
3,TN,i,8,410
4,TP,ii,0,410
0,TP,i,3,411
1,FP,i,5,411
2,FN,i,5,411
3,TN,i,8,411
4,TP,ii,0,411
0,TP,i,3,412
1,FP,i,8,412
2,FN,i,5,412
3,TN,i,5,412
4,TP,ii,0,412
0,TP,i,2,413
1,FP,i,4,413
2,FN,i,6,413
3,TN,i,9,413
4,TP,ii,0,413
0,TP,i,5,414
1,FP,i,6,414
2,FN,i,4,414
3,TN,i,6,414
4,TP,ii,1,414
0,TP,i,0,415
1,FP,i,5,415
2,FN,i,7,415
3,TN,i,9,415
4,TP,ii,1,415
0,TP,i,2,416
1,FP,i,4,416
2,FN,i,7,416
3,TN,i,8,416
4,TP,ii,0,416
0,TP,i,4,417
1,FP,i,6,417
2,FN,i,5,417
3,TN,i,6,417
4,TP,ii,1,417
0,TP,i,3,418
1,FP,i,3,418
2,FN,i,7,418
3,TN,i,8,418
4,TP,ii,2,418
0,TP,i,2,419
1,FP,i,6,419
2,FN,i,4,419
3,TN,i,9,419
4,TP,ii,3,419
0,TP,i,2,420
1,FP,i,7,420
2,FN,i,4,420
3,TN,i,8,420
4,TP,ii,4,420
0,TP,i,1,421
1,FP,i,5,421
2,FN,i,5,421
3,TN,i,10,421
4,TP,ii,2,421
0,TP,i,2,422
1,FP,i,3,422
2,FN,i,4,422
3,TN,i,12,422
4,TP,ii,1,422
0,TP,i,2,423
1,FP,i,7,423
2,FN,i,5,423
3,TN,i,7,423
4,TP,ii,1,423
0,TP,i,4,424
1,FP,i,5,424
2,FN,i,7,424
3,TN,i,5,424
4,TP,ii,0,424
0,TP,i,0,425
1,FP,i,4,425
2,FN,i,10,425
3,TN,i,7,425
4,TP,ii,2,425
0,TP,i,4,426
1,FP,i,3,426
2,FN,i,6,426
3,TN,i,8,426
4,TP,ii,2,426
0,TP,i,2,427
1,FP,i,9,427
2,FN,i,3,427
3,TN,i,7,427
4,TP,ii,0,427
0,TP,i,3,428
1,FP,i,1,428
2,FN,i,10,428
3,TN,i,7,428
4,TP,ii,0,428
0,TP,i,4,429
1,FP,i,5,429
2,FN,i,2,429
3,TN,i,10,429
4,TP,ii,0,429
0,TP,i,2,430
1,FP,i,5,430
2,FN,i,7,430
3,TN,i,7,430
4,TP,ii,1,430
0,TP,i,3,431
1,FP,i,6,431
2,FN,i,6,431
3,TN,i,6,431
4,TP,ii,1,431
0,TP,i,4,432
1,FP,i,4,432
2,FN,i,6,432
3,TN,i,7,432
4,TP,ii,0,432
0,TP,i,1,433
1,FP,i,3,433
2,FN,i,7,433
3,TN,i,10,433
4,TP,ii,3,433
0,TP,i,2,434
1,FP,i,6,434
2,FN,i,3,434
3,TN,i,10,434
4,TP,ii,1,434
0,TP,i,2,435
1,FP,i,8,435
2,FN,i,5,435
3,TN,i,6,435
4,TP,ii,1,435
0,TP,i,2,436
1,FP,i,7,436
2,FN,i,7,436
3,TN,i,5,436
4,TP,ii,1,436
0,TP,i,2,437
1,FP,i,6,437
2,FN,i,7,437
3,TN,i,6,437
4,TP,ii,0,437
0,TP,i,4,438
1,FP,i,5,438
2,FN,i,4,438
3,TN,i,8,438
4,TP,ii,2,438
0,TP,i,2,439
1,FP,i,7,439
2,FN,i,6,439
3,TN,i,6,439
4,TP,ii,0,439
0,TP,i,1,440
1,FP,i,3,440
2,FN,i,6,440
3,TN,i,11,440
4,TP,ii,1,440
0,TP,i,3,441
1,FP,i,9,441
2,FN,i,4,441
3,TN,i,5,441
4,TP,ii,1,441
0,TP,i,3,442
1,FP,i,8,442
2,FN,i,3,442
3,TN,i,7,442
4,TP,ii,0,442
0,TP,i,2,443
1,FP,i,5,443
2,FN,i,5,443
3,TN,i,9,443
4,TP,ii,0,443
0,TP,i,0,444
1,FP,i,9,444
2,FN,i,6,444
3,TN,i,6,444
4,TP,ii,0,444
0,TP,i,7,445
1,FP,i,3,445
2,FN,i,5,445
3,TN,i,6,445
4,TP,ii,1,445
0,TP,i,1,446
1,FP,i,10,446
2,FN,i,5,446
3,TN,i,5,446
4,TP,ii,2,446
0,TP,i,2,447
1,FP,i,4,447
2,FN,i,5,447
3,TN,i,10,447
4,TP,ii,3,447
0,TP,i,4,448
1,FP,i,7,448
2,FN,i,6,448
3,TN,i,4,448
4,TP,ii,1,448
0,TP,i,2,449
1,FP,i,2,449
2,FN,i,7,449
3,TN,i,10,449
4,TP,ii,3,449
0,TP,i,1,450
1,FP,i,4,450
2,FN,i,8,450
3,TN,i,8,450
4,TP,ii,1,450
0,TP,i,1,451
1,FP,i,5,451
2,FN,i,4,451
3,TN,i,11,451
4,TP,ii,0,451
0,TP,i,3,452
1,FP,i,5,452
2,FN,i,4,452
3,TN,i,9,452
4,TP,ii,1,452
0,TP,i,6,453
1,FP,i,4,453
2,FN,i,4,453
3,TN,i,7,453
4,TP,ii,1,453
0,TP,i,5,454
1,FP,i,5,454
2,FN,i,3,454
3,TN,i,8,454
4,TP,ii,1,454
0,TP,i,2,455
1,FP,i,5,455
2,FN,i,5,455
3,TN,i,9,455
4,TP,ii,0,455
0,TP,i,2,456
1,FP,i,3,456
2,FN,i,9,456
3,TN,i,7,456
4,TP,ii,0,456
0,TP,i,3,457
1,FP,i,6,457
2,FN,i,7,457
3,TN,i,5,457
4,TP,ii,1,457
0,TP,i,0,458
1,FP,i,4,458
2,FN,i,12,458
3,TN,i,5,458
4,TP,ii,2,458
0,TP,i,3,459
1,FP,i,2,459
2,FN,i,6,459
3,TN,i,10,459
4,TP,ii,1,459
0,TP,i,4,460
1,FP,i,5,460
2,FN,i,5,460
3,TN,i,7,460
4,TP,ii,0,460
0,TP,i,2,461
1,FP,i,8,461
2,FN,i,4,461
3,TN,i,7,461
4,TP,ii,1,461
0,TP,i,1,462
1,FP,i,7,462
2,FN,i,6,462
3,TN,i,7,462
4,TP,ii,1,462
0,TP,i,6,463
1,FP,i,4,463
2,FN,i,4,463
3,TN,i,7,463
4,TP,ii,1,463
0,TP,i,4,464
1,FP,i,3,464
2,FN,i,6,464
3,TN,i,8,464
4,TP,ii,2,464
0,TP,i,6,465
1,FP,i,6,465
2,FN,i,3,465
3,TN,i,6,465
4,TP,ii,2,465
0,TP,i,1,466
1,FP,i,3,466
2,FN,i,6,466
3,TN,i,11,466
4,TP,ii,0,466
0,TP,i,2,467
1,FP,i,5,467
2,FN,i,8,467
3,TN,i,6,467
4,TP,ii,0,467
0,TP,i,0,468
1,FP,i,5,468
2,FN,i,8,468
3,TN,i,8,468
4,TP,ii,2,468
0,TP,i,4,469
1,FP,i,5,469
2,FN,i,7,469
3,TN,i,5,469
4,TP,ii,2,469
0,TP,i,4,470
1,FP,i,4,470
2,FN,i,5,470
3,TN,i,8,470
4,TP,ii,0,470
0,TP,i,3,471
1,FP,i,5,471
2,FN,i,8,471
3,TN,i,5,471
4,TP,ii,0,471
0,TP,i,3,472
1,FP,i,4,472
2,FN,i,6,472
3,TN,i,8,472
4,TP,ii,1,472
0,TP,i,2,473
1,FP,i,3,473
2,FN,i,6,473
3,TN,i,10,473
4,TP,ii,3,473
0,TP,i,1,474
1,FP,i,7,474
2,FN,i,5,474
3,TN,i,8,474
4,TP,ii,1,474
0,TP,i,1,475
1,FP,i,3,475
2,FN,i,7,475
3,TN,i,10,475
4,TP,ii,3,475
0,TP,i,4,476
1,FP,i,6,476
2,FN,i,5,476
3,TN,i,6,476
4,TP,ii,3,476
0,TP,i,3,477
1,FP,i,4,477
2,FN,i,6,477
3,TN,i,8,477
4,TP,ii,2,477
0,TP,i,0,478
1,FP,i,9,478
2,FN,i,3,478
3,TN,i,9,478
4,TP,ii,1,478
0,TP,i,1,479
1,FP,i,6,479
2,FN,i,9,479
3,TN,i,5,479
4,TP,ii,2,479
0,TP,i,3,480
1,FP,i,5,480
2,FN,i,4,480
3,TN,i,9,480
4,TP,ii,1,480
0,TP,i,5,481
1,FP,i,3,481
2,FN,i,7,481
3,TN,i,6,481
4,TP,ii,0,481
0,TP,i,2,482
1,FP,i,5,482
2,FN,i,5,482
3,TN,i,9,482
4,TP,ii,0,482
0,TP,i,4,483
1,FP,i,6,483
2,FN,i,4,483
3,TN,i,7,483
4,TP,ii,2,483
0,TP,i,2,484
1,FP,i,2,484
2,FN,i,7,484
3,TN,i,10,484
4,TP,ii,3,484
0,TP,i,2,485
1,FP,i,6,485
2,FN,i,5,485
3,TN,i,8,485
4,TP,ii,1,485
0,TP,i,3,486
1,FP,i,7,486
2,FN,i,6,486
3,TN,i,5,486
4,TP,ii,2,486
0,TP,i,1,487
1,FP,i,6,487
2,FN,i,7,487
3,TN,i,7,487
4,TP,ii,0,487
0,TP,i,2,488
1,FP,i,3,488
2,FN,i,9,488
3,TN,i,7,488
4,TP,ii,0,488
0,TP,i,5,489
1,FP,i,3,489
2,FN,i,5,489
3,TN,i,8,489
4,TP,ii,0,489
0,TP,i,1,490
1,FP,i,3,490
2,FN,i,8,490
3,TN,i,9,490
4,TP,ii,0,490
0,TP,i,3,491
1,FP,i,3,491
2,FN,i,7,491
3,TN,i,8,491
4,TP,ii,2,491
0,TP,i,2,492
1,FP,i,4,492
2,FN,i,9,492
3,TN,i,6,492
4,TP,ii,2,492
0,TP,i,2,493
1,FP,i,6,493
2,FN,i,7,493
3,TN,i,6,493
4,TP,ii,2,493
0,TP,i,1,494
1,FP,i,4,494
2,FN,i,9,494
3,TN,i,7,494
4,TP,ii,2,494
0,TP,i,3,495
1,FP,i,6,495
2,FN,i,7,495
3,TN,i,5,495
4,TP,ii,0,495
0,TP,i,3,496
1,FP,i,5,496
2,FN,i,8,496
3,TN,i,5,496
4,TP,ii,0,496
0,TP,i,1,497
1,FP,i,6,497
2,FN,i,9,497
3,TN,i,5,497
4,TP,ii,1,497
0,TP,i,6,498
1,FP,i,5,498
2,FN,i,3,498
3,TN,i,7,498
4,TP,ii,2,498
0,TP,i,6,499
1,FP,i,4,499
2,FN,i,6,499
3,TN,i,5,499
4,TP,ii,0,499
0,TP,i,3,500
1,FP,i,8,500
2,FN,i,5,500
3,TN,i,5,500
4,TP,ii,2,500
0,TP,i,3,501
1,FP,i,6,501
2,FN,i,5,501
3,TN,i,7,501
4,TP,ii,0,501
0,TP,i,2,502
1,FP,i,11,502
2,FN,i,2,502
3,TN,i,6,502
4,TP,ii,2,502
0,TP,i,2,503
1,FP,i,3,503
2,FN,i,9,503
3,TN,i,7,503
4,TP,ii,1,503
0,TP,i,4,504
1,FP,i,4,504
2,FN,i,4,504
3,TN,i,9,504
4,TP,ii,1,504
0,TP,i,1,505
1,FP,i,5,505
2,FN,i,4,505
3,TN,i,11,505
4,TP,ii,1,505
0,TP,i,2,506
1,FP,i,5,506
2,FN,i,4,506
3,TN,i,10,506
4,TP,ii,1,506
0,TP,i,3,507
1,FP,i,2,507
2,FN,i,8,507
3,TN,i,8,507
4,TP,ii,2,507
0,TP,i,1,508
1,FP,i,5,508
2,FN,i,7,508
3,TN,i,8,508
4,TP,ii,0,508
0,TP,i,3,509
1,FP,i,9,509
2,FN,i,4,509
3,TN,i,5,509
4,TP,ii,0,509
0,TP,i,2,510
1,FP,i,5,510
2,FN,i,9,510
3,TN,i,5,510
4,TP,ii,0,510
0,TP,i,1,511
1,FP,i,5,511
2,FN,i,7,511
3,TN,i,8,511
4,TP,ii,0,511
0,TP,i,0,512
1,FP,i,2,512
2,FN,i,6,512
3,TN,i,13,512
4,TP,ii,4,512
0,TP,i,3,513
1,FP,i,4,513
2,FN,i,6,513
3,TN,i,8,513
4,TP,ii,2,513
0,TP,i,2,514
1,FP,i,6,514
2,FN,i,7,514
3,TN,i,6,514
4,TP,ii,1,514
0,TP,i,1,515
1,FP,i,3,515
2,FN,i,6,515
3,TN,i,11,515
4,TP,ii,1,515
0,TP,i,2,516
1,FP,i,3,516
2,FN,i,8,516
3,TN,i,8,516
4,TP,ii,1,516
0,TP,i,5,517
1,FP,i,1,517
2,FN,i,8,517
3,TN,i,7,517
4,TP,ii,0,517
0,TP,i,4,518
1,FP,i,3,518
2,FN,i,5,518
3,TN,i,9,518
4,TP,ii,1,518
0,TP,i,2,519
1,FP,i,8,519
2,FN,i,2,519
3,TN,i,9,519
4,TP,ii,1,519
0,TP,i,4,520
1,FP,i,3,520
2,FN,i,6,520
3,TN,i,8,520
4,TP,ii,1,520
0,TP,i,2,521
1,FP,i,5,521
2,FN,i,5,521
3,TN,i,9,521
4,TP,ii,1,521
0,TP,i,1,522
1,FP,i,7,522
2,FN,i,5,522
3,TN,i,8,522
4,TP,ii,0,522
0,TP,i,0,523
1,FP,i,5,523
2,FN,i,6,523
3,TN,i,10,523
4,TP,ii,0,523
0,TP,i,2,524
1,FP,i,6,524
2,FN,i,6,524
3,TN,i,7,524
4,TP,ii,0,524
0,TP,i,4,525
1,FP,i,4,525
2,FN,i,8,525
3,TN,i,5,525
4,TP,ii,1,525
0,TP,i,1,526
1,FP,i,5,526
2,FN,i,4,526
3,TN,i,11,526
4,TP,ii,2,526
0,TP,i,3,527
1,FP,i,7,527
2,FN,i,5,527
3,TN,i,6,527
4,TP,ii,1,527
0,TP,i,3,528
1,FP,i,9,528
2,FN,i,6,528
3,TN,i,3,528
4,TP,ii,0,528
0,TP,i,1,529
1,FP,i,3,529
2,FN,i,4,529
3,TN,i,13,529
4,TP,ii,0,529
0,TP,i,3,530
1,FP,i,6,530
2,FN,i,7,530
3,TN,i,5,530
4,TP,ii,0,530
0,TP,i,1,531
1,FP,i,6,531
2,FN,i,8,531
3,TN,i,6,531
4,TP,ii,0,531
0,TP,i,2,532
1,FP,i,6,532
2,FN,i,5,532
3,TN,i,8,532
4,TP,ii,0,532
0,TP,i,4,533
1,FP,i,6,533
2,FN,i,4,533
3,TN,i,7,533
4,TP,ii,1,533
0,TP,i,0,534
1,FP,i,9,534
2,FN,i,4,534
3,TN,i,8,534
4,TP,ii,2,534
0,TP,i,4,535
1,FP,i,3,535
2,FN,i,6,535
3,TN,i,8,535
4,TP,ii,1,535
0,TP,i,2,536
1,FP,i,5,536
2,FN,i,5,536
3,TN,i,9,536
4,TP,ii,2,536
0,TP,i,5,537
1,FP,i,4,537
2,FN,i,1,537
3,TN,i,11,537
4,TP,ii,2,537
0,TP,i,3,538
1,FP,i,4,538
2,FN,i,8,538
3,TN,i,6,538
4,TP,ii,0,538
0,TP,i,3,539
1,FP,i,6,539
2,FN,i,4,539
3,TN,i,8,539
4,TP,ii,0,539
0,TP,i,5,540
1,FP,i,6,540
2,FN,i,6,540
3,TN,i,4,540
4,TP,ii,0,540
0,TP,i,4,541
1,FP,i,4,541
2,FN,i,4,541
3,TN,i,9,541
4,TP,ii,1,541
0,TP,i,5,542
1,FP,i,3,542
2,FN,i,6,542
3,TN,i,7,542
4,TP,ii,1,542
0,TP,i,5,543
1,FP,i,4,543
2,FN,i,7,543
3,TN,i,5,543
4,TP,ii,1,543
0,TP,i,2,544
1,FP,i,4,544
2,FN,i,7,544
3,TN,i,8,544
4,TP,ii,1,544
0,TP,i,2,545
1,FP,i,7,545
2,FN,i,6,545
3,TN,i,6,545
4,TP,ii,0,545
0,TP,i,2,546
1,FP,i,4,546
2,FN,i,5,546
3,TN,i,10,546
4,TP,ii,3,546
0,TP,i,1,547
1,FP,i,7,547
2,FN,i,6,547
3,TN,i,7,547
4,TP,ii,1,547
0,TP,i,2,548
1,FP,i,8,548
2,FN,i,5,548
3,TN,i,6,548
4,TP,ii,2,548
0,TP,i,4,549
1,FP,i,6,549
2,FN,i,2,549
3,TN,i,9,549
4,TP,ii,2,549
0,TP,i,1,550
1,FP,i,4,550
2,FN,i,6,550
3,TN,i,10,550
4,TP,ii,3,550
0,TP,i,5,551
1,FP,i,5,551
2,FN,i,4,551
3,TN,i,7,551
4,TP,ii,2,551
0,TP,i,3,552
1,FP,i,6,552
2,FN,i,3,552
3,TN,i,9,552
4,TP,ii,1,552
0,TP,i,2,553
1,FP,i,6,553
2,FN,i,7,553
3,TN,i,6,553
4,TP,ii,1,553
0,TP,i,1,554
1,FP,i,4,554
2,FN,i,10,554
3,TN,i,6,554
4,TP,ii,1,554
0,TP,i,1,555
1,FP,i,3,555
